,Unnamed: 0,x,y,elevation,ssssHCP1.6f450h0.15,HCP1.6f1530h0.15,HCP1.6f5310h0.15,HCP1.6f18330h0.15,HCP1.6f63030h0.15
23328,23328,344109.03,4482830.03,2107.99,266.4958216,100.4985699,63.35555415,52.90100329,43.64131083
23333,23333,344108.87,4482830.15,2108.13,384.3520595,101.7919878,57.7653582,48.47459281,39.87371565
23338,23338,344108.72,4482830.32,2108.19,336.8577546,94.93687295,51.05712305,43.9402211,35.47818794
23343,23343,344108.57,4482830.52,2108.2,383.4725353,104.5081653,55.15660009,44.48002726,35.47818794
23348,23348,344108.38,4482830.72,2108.18,387.430394,98.29975946,52.54784198,43.72429864,35.16422168
23353,23353,344108.16,4482830.92,2108.14,291.5622602,89.50451782,53.66588117,44.37206603,36.10612047
23358,23358,344107.89,4482831.16,2108.11,308.7129814,84.07216269,57.39267847,43.83225987,34.85025541
23363,23363,344107.6,4482831.41,2108.08,332.4601338,97.65305051,54.78392036,44.04818233,34.22232288
23368,23368,344107.4,4482831.72,2108.07,366.7615762,108.388419,55.90195955,42.64468633,33.90835662
23373,23373,344107.24,4482832.05,2108.07,158.7541115,92.0913536,54.41124063,45.23575588,34.53628915
23378,23378,344107.12,4482832.27,2108.07,532.112119,94.67818937,59.62875685,47.17905804,36.734053
23383,23383,344107.01,4482832.44,2108.07,479.3406691,105.4135578,61.11947577,49.87808882,38.30388432
23388,23388,344106.88,4482832.62,2108.1,492.5335316,103.3440892,60.00143658,51.38954605,39.87371565
23393,23393,344106.73,4482832.81,2108.14,399.3039703,84.97755521,58.88339739,52.14527467,41.12958071
23398,23398,344106.51,4482833.05,2108.19,357.5265725,106.9656593,66.336992,53.65673191,42.0714795
23403,23403,344106.25,4482833.31,2108.23,427.0089814,115.3728756,66.336992,54.95226668,42.38544577
23408,23408,344106.01,4482833.58,2108.24,401.0630186,111.8806473,68.94575011,58.40702608,44.58320962
23413,23413,344105.77,4482833.86,2108.24,330.2613234,113.9501159,71.18182849,62.40159164,48.03683854
23418,23418,344105.61,4482834.03,2108.25,428.3282677,148.7430571,82.73490013,68.44742058,53.06029878
23423,23423,344105.5,4482834.16,2108.27,461.7501859,156.5035644,87.2070569,71.79421875,55.5720289
25752,25752,344106.93,4482834.31,2107.39,336.4179926,114.9848502,77.51738391,63.69712641,49.92063613
25757,25757,344106.93,4482834.29,2107.4,372.9182454,119.382471,78.6354231,64.3448938,49.92063613
25762,25762,344106.92,4482834.26,2107.43,258.140342,119.8998382,76.02666499,63.91304887,50.23460239
25767,25767,344106.93,4482834.18,2107.47,194.8146022,119.1237874,74.16326633,63.91304887,50.23460239
25772,25772,344106.95,4482834.03,2107.53,335.5384684,119.382471,72.29986768,61.86178548,48.66477107
25777,25777,344106.99,4482833.93,2107.56,269.134394,127.2723201,71.55450822,60.56625071,46.78097348
25782,25782,344107.05,4482833.89,2107.56,294.6405948,124.1681172,76.02666499,59.81052209,46.15304095
25787,25787,344107.12,4482833.81,2107.56,355.3277621,121.4519396,69.69110957,58.73090978,45.21114215
25792,25792,344107.19,4482833.71,2107.56,202.2905576,118.7357621,69.31842984,58.29906485,44.58320962
25797,25797,344107.31,4482833.6,2107.54,256.3812937,111.4926219,65.21895281,56.46372392,43.32734456
25802,25802,344107.47,4482833.48,2107.5,267.3753457,106.8363175,69.69110957,55.38411161,43.32734456
25807,25807,344107.68,4482833.34,2107.46,317.9479851,113.4327487,66.336992,54.41246053,42.38544577
25812,25812,344107.93,4482833.18,2107.44,219.0015167,100.2398863,63.72823389,51.92935221,40.50164818
25817,25817,344108.15,4482832.97,2107.41,207.1279405,109.4231533,60.37411631,50.09401128,38.93181685
25822,25822,344108.34,4482832.72,2107.38,142.9226766,94.93687295,58.51071766,46.96313557,36.734053
25827,25827,344108.55,4482832.51,2107.34,404.1413532,88.34044172,56.27463928,45.6676008,35.7921542
25832,25832,344108.77,4482832.35,2107.28,189.9772193,106.4482921,57.39267847,45.55963957,37.36198553
25837,25837,344108.97,4482832.21,2107.25,208.0074647,111.7513055,60.74679604,46.09944573,37.04801926
25842,25842,344109.13,4482832.09,2107.24,308.7129814,99.72251913,57.39267847,43.50837618,35.47818794
25847,25847,344109.31,4482831.94,2107.23,227.3569963,92.86740433,57.01999874,42.32080263,34.53628915
25852,25852,344109.5,4482831.75,2107.22,252.863197,107.3536847,54.0385609,41.99691894,33.28042409
25857,25857,344109.7,4482831.56,2107.19,327.1829888,84.46018806,51.05712305,39.94565555,32.65249156
25862,25862,344109.93,4482831.36,2107.12,297.7189294,100.2398863,51.05712305,39.83769432,32.65249156
25867,25867,344110.15,4482831.17,2107.1,291.5622602,89.89254319,50.31176359,41.78099648,34.85025541
25872,25872,344110.38,4482831,2107.13,302.9960743,93.77279685,49.1937244,42.86060879,35.7921542
25877,25877,344110.59,4482830.86,2107.15,259.0198662,97.65305051,49.1937244,41.24119032,34.53628915
25882,25882,344110.77,4482830.76,2107.16,278.3693978,86.65899847,49.56640413,39.18992693,32.02455903
25887,25887,344110.99,4482830.62,2107.16,254.1824833,82.77874481,49.56640413,38.11031462,30.95707372
